Year,City,Rooms,Rent per m2,Rental apartment count
2021,Kuopio,3,12.1,1874
2021,Joensuu,1,16.99,5111
2021,Joensuu,2,13.03,3487
2021,Joensuu,3,11.04,613
2021,Jyväskylä,1,18.34,9639
2021,Jyväskylä,2,13.61,10845
2021,Jyväskylä,3,11.93,3661
2021,Seinäjoki,1,15.29,2185
2021,Seinäjoki,2,11.92,2476
2021,Seinäjoki,3,10.49,860
2021,Vaasa,1,15.76,3501
2021,Vaasa,2,12.05,2818
2021,Vaasa,3,10.14,689
2021,Oulu,1,16.76,13304
2021,Oulu,2,12.92,11818
2021,Oulu,3,11.56,3957
2021,Rovaniemi,1,16.88,3011
2021,Rovaniemi,2,13.19,2763
2021,Rovaniemi,3,11.54,804
2022,Helsinki,1,26.83,44793
2022,Helsinki,2,20.48,37118
2022,Helsinki,3,18.84,19878
2022,Espoo-Kauniainen,1,23.6,10790
2022,Espoo-Kauniainen,2,18.52,15973
2022,Espoo-Kauniainen,3,16.95,9779
2022,Vantaa,1,23.64,10803
2022,Vantaa,2,17.81,20085
2022,Vantaa,3,16.4,12130
2022,Porvoo,1,18.75,1037
2022,Porvoo,2,13.76,793
2022,Porvoo,3,12.93,293
2022,Turku,1,18.36,18180
2022,Turku,2,14.3,14676
2022,Turku,3,12.64,4408
2022,Pori,1,14.06,3446
2022,Pori,2,10.73,3605
2022,Pori,3,9.61,961
2022,Hämeenlinna,1,17.79,3236
2022,Hämeenlinna,2,13.65,3378
2022,Hämeenlinna,3,12.22,1092
2022,Tampere,1,19.65,22845
2022,Tampere,2,14.9,19373
2022,Tampere,3,13.38,6135
2022,Lahti,1,16.77,5959
2022,Lahti,2,13.28,7960
2022,Lahti,3,11.88,2564
2022,Kotka,1,14.16,2103
2022,Kotka,2,12.19,1787
2022,Kotka,3,10.93,464
2022,Kouvola,1,13.49,2334
2022,Kouvola,2,10.46,2025
2022,Kouvola,3,9.14,568
2022,Lappeenranta,1,17.28,3262
2022,Lappeenranta,2,13.49,2784
2022,Lappeenranta,3,11.69,772
2022,Mikkeli,1,16.18,1645
2022,Mikkeli,2,12.09,1153
2022,Mikkeli,3,10.41,308
2022,Kuopio,1,18.62,6640
2022,Kuopio,2,14.44,6956
2022,Kuopio,3,12.5,1992
2022,Joensuu,1,17.33,5026
2022,Joensuu,2,13.2,3179
2022,Joensuu,3,11.15,629
2022,Jyväskylä,1,18.45,9173
2022,Jyväskylä,2,13.7,9667
2022,Jyväskylä,3,12.12,3237
2022,Seinäjoki,1,15.36,2126
2022,Seinäjoki,2,12.17,2316
2022,Seinäjoki,3,10.59,799
2022,Vaasa,1,15.93,3356
2022,Vaasa,2,12.13,2684
2022,Vaasa,3,10.21,616
2022,Oulu,1,17.05,12974
2022,Oulu,2,13.28,11293
2022,Oulu,3,11.87,3629
2022,Rovaniemi,1,17.26,2877
2022,Rovaniemi,2,13.63,2687
2022,Rovaniemi,3,11.87,769
