"Vuosi";"Alue";"Rahoitusmuoto";"Luokka";"Neliövuokra, euroa/m2/kk";"Lukumäärä"
"2011";"Mikkeli 1";"Vapaarahoitteinen";"3h+";8.71;122
"2011";"Mikkeli 2";"Vapaarahoitteinen";"1h";10.62;108
"2011";"Mikkeli 2";"Vapaarahoitteinen";"2h";9.19;113
"2011";"Mikkeli 2";"Vapaarahoitteinen";"3h+";8.51;72
"2011";"Joensuu";"Vapaarahoitteinen";"1h";13.41;1089
"2011";"Joensuu";"Vapaarahoitteinen";"2h";10.11;1099
"2011";"Joensuu";"Vapaarahoitteinen";"3h+";9.28;402
"2011";"Joensuu 1";"Vapaarahoitteinen";"1h";14.00;781
"2011";"Joensuu 1";"Vapaarahoitteinen";"2h";10.61;676
"2011";"Joensuu 1";"Vapaarahoitteinen";"3h+";9.93;215
"2011";"Joensuu 2";"Vapaarahoitteinen";"1h";12.22;240
"2011";"Joensuu 2";"Vapaarahoitteinen";"2h";9.76;320
"2011";"Joensuu 2";"Vapaarahoitteinen";"3h+";9.11;152
"2011";"Joensuu 3";"Vapaarahoitteinen";"1h";9.10;68
"2011";"Joensuu 3";"Vapaarahoitteinen";"2h";8.22;103
"2011";"Joensuu 3";"Vapaarahoitteinen";"3h+";6.85;35
"2011";"Oulu";"Vapaarahoitteinen";"1h";13.10;2494
"2011";"Oulu";"Vapaarahoitteinen";"2h";10.43;2981
"2011";"Oulu";"Vapaarahoitteinen";"3h+";9.28;1098
"2011";"Oulu 1";"Vapaarahoitteinen";"1h";13.80;1130
"2011";"Oulu 1";"Vapaarahoitteinen";"2h";11.17;1284
"2011";"Oulu 1";"Vapaarahoitteinen";"3h+";10.07;398
"2011";"Oulu 2";"Vapaarahoitteinen";"1h";12.39;1364
"2011";"Oulu 2";"Vapaarahoitteinen";"2h";9.79;1697
"2011";"Oulu 2";"Vapaarahoitteinen";"3h+";8.81;700
"2011";"Kajaani";"Vapaarahoitteinen";"1h";12.17;402
"2011";"Kajaani";"Vapaarahoitteinen";"2h";9.74;396
"2011";"Kajaani";"Vapaarahoitteinen";"3h+";8.60;151
"2011";"Rovaniemi";"Vapaarahoitteinen";"1h";13.29;833
"2011";"Rovaniemi";"Vapaarahoitteinen";"2h";10.65;979
"2011";"Rovaniemi";"Vapaarahoitteinen";"3h+";8.93;415
"2011";"Yli 100 000 asukasta";"Vapaarahoitteinen";"1h";15.20;25913
"2011";"Yli 100 000 asukasta";"Vapaarahoitteinen";"2h";11.89;21970
"2011";"Yli 100 000 asukasta";"Vapaarahoitteinen";"3h+";10.50;8403
"2011";"60 000 - 100 000 asukasta";"Vapaarahoitteinen";"1h";12.59;7025
"2011";"60 000 - 100 000 asukasta";"Vapaarahoitteinen";"2h";10.07;7347
"2011";"60 000 - 100 000 asukasta";"Vapaarahoitteinen";"3h+";8.70;2893
"2011";"20 000 - 59 999 asukasta";"Vapaarahoitteinen";"1h";11.57;10609
"2011";"20 000 - 59 999 asukasta";"Vapaarahoitteinen";"2h";9.54;11044
"2011";"20 000 - 59 999 asukasta";"Vapaarahoitteinen";"3h+";8.38;5167
"2011";"Alle 20 000 asukasta";"Vapaarahoitteinen";"1h";9.42;7374
"2011";"Alle 20 000 asukasta";"Vapaarahoitteinen";"2h";8.17;8930
"2011";"Alle 20 000 asukasta";"Vapaarahoitteinen";"3h+";7.39;5367
"2012";"Koko maa";"Vapaarahoitteinen";"1h";15.00;48466
"2012";"Koko maa";"Vapaarahoitteinen";"2h";11.42;46310
"2012";"Koko maa";"Vapaarahoitteinen";"3h+";10.04;19910
"2012";"Pääkaupunkiseutu (PKS)";"Vapaarahoitteinen";"1h";18.97;11145
"2012";"Pääkaupunkiseutu (PKS)";"Vapaarahoitteinen";"2h";14.58;8497
"2012";"Pääkaupunkiseutu (PKS)";"Vapaarahoitteinen";"3h+";12.64;3686
"2012";"Muu Suomi (koko maa - PKS)";"Vapaarahoitteinen";"1h";12.71;37321
"2012";"Muu Suomi (koko maa - PKS)";"Vapaarahoitteinen";"2h";10.08;37813
"2012";"Muu Suomi (koko maa - PKS)";"Vapaarahoitteinen";"3h+";8.76;16224
"2012";"Etelä-Suomi";"Vapaarahoitteinen";"1h";16.46;25477
"2012";"Etelä-Suomi";"Vapaarahoitteinen";"2h";12.52;21449
"2012";"Etelä-Suomi";"Vapaarahoitteinen";"3h+";11.02;9350
"2012";"Länsi-Suomi";"Vapaarahoitteinen";"1h";12.92;12130
"2012";"Länsi-Suomi";"Vapaarahoitteinen";"2h";10.10;12709
"2012";"Länsi-Suomi";"Vapaarahoitteinen";"3h+";8.69;5464
"2012";"Itä-Suomi";"Vapaarahoitteinen";"1h";12.21;5918
"2012";"Itä-Suomi";"Vapaarahoitteinen";"2h";9.79;6231
"2012";"Itä-Suomi";"Vapaarahoitteinen";"3h+";8.52;2514
"2012";"Pohjois-Suomi";"Vapaarahoitteinen";"1h";12.37;4941
"2012";"Pohjois-Suomi";"Vapaarahoitteinen";"2h";9.94;5921
"2012";"Pohjois-Suomi";"Vapaarahoitteinen";"3h+";8.65;2582
"2012";"Uudenmaan maakunta";"Vapaarahoitteinen";"1h";18.17;13742
"2012";"Uudenmaan maakunta";"Vapaarahoitteinen";"2h";13.84;11189
"2012";"Uudenmaan maakunta";"Vapaarahoitteinen";"3h+";11.99;5002
"2012";"Varsinais-Suomen maakunta";"Vapaarahoitteinen";"1h";13.23;5303
"2012";"Varsinais-Suomen maakunta";"Vapaarahoitteinen";"2h";10.16;4253
"2012";"Varsinais-Suomen maakunta";"Vapaarahoitteinen";"3h+";8.94;1737
"2012";"Satakunnan maakunta";"Vapaarahoitteinen";"1h";11.30;2055
"2012";"Satakunnan maakunta";"Vapaarahoitteinen";"2h";8.92;2257
"2012";"Satakunnan maakunta";"Vapaarahoitteinen";"3h+";7.84;1160
"2012";"Kanta-Hämeen maakunta";"Vapaarahoitteinen";"1h";12.26;1098
"2012";"Kanta-Hämeen maakunta";"Vapaarahoitteinen";"2h";10.20;1084
"2012";"Kanta-Hämeen maakunta";"Vapaarahoitteinen";"3h+";8.98;533
"2012";"Pirkanmaan maakunta";"Vapaarahoitteinen";"1h";13.78;5576
"2012";"Pirkanmaan maakunta";"Vapaarahoitteinen";"2h";10.86;4861
"2012";"Pirkanmaan maakunta";"Vapaarahoitteinen";"3h+";9.42;1924
"2012";"Päijät-Hämeen maakunta";"Vapaarahoitteinen";"1h";12.75;2292
