"Vuosi";"Alue";"Talotyyppi";"Neliöhinta (EUR/m2)";"Kauppojen lukumäärä, varainsiirtoverotiedot vuoteen 2019 asti";"Kauppojen lukumäärä, varainsiirtoverotiedot vuodesta 2020 alkaen"
"2012";"Pori 2";"Kerrostalo yksiöt";1149;112;.
"2012";"Pori 2";"Kerrostalo kaksiot";933;316;.
"2012";"Pori 2";"Kerrostalo kolmiot+";1001;133;.
"2012";"Rauma";"Kerrostalo yksiöt";1530;70;.
"2012";"Rauma";"Kerrostalo kaksiot";1375;206;.
"2012";"Rauma";"Kerrostalo kolmiot+";1409;136;.
"2012";"Kanta-Häme";"Kerrostalo yksiöt";1773;336;.
"2012";"Kanta-Häme";"Kerrostalo kaksiot";1609;730;.
"2012";"Kanta-Häme";"Kerrostalo kolmiot+";1563;454;.
"2012";"Hämeenlinna";"Kerrostalo yksiöt";2156;138;.
"2012";"Hämeenlinna";"Kerrostalo kaksiot";1934;297;.
"2012";"Hämeenlinna";"Kerrostalo kolmiot+";1828;195;.
"2012";"Hämeenlinna 1";"Kerrostalo yksiöt";2388;84;.
"2012";"Hämeenlinna 1";"Kerrostalo kaksiot";2173;199;.
"2012";"Hämeenlinna 1";"Kerrostalo kolmiot+";2054;135;.
"2012";"Hämeenlinna 2";"Kerrostalo yksiöt";1718;54;.
"2012";"Hämeenlinna 2";"Kerrostalo kaksiot";1509;98;.
"2012";"Hämeenlinna 2";"Kerrostalo kolmiot+";1359;60;.
"2012";"Riihimäki";"Kerrostalo yksiöt";1809;84;.
"2012";"Riihimäki";"Kerrostalo kaksiot";1569;211;.
"2012";"Riihimäki";"Kerrostalo kolmiot+";1536;134;.
"2012";"Pirkanmaa";"Kerrostalo yksiöt";2437;1159;.
"2012";"Pirkanmaa";"Kerrostalo kaksiot";2107;2548;.
"2012";"Pirkanmaa";"Kerrostalo kolmiot+";2053;1718;.
"2012";"Tampere";"Kerrostalo yksiöt";2761;835;.
